project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Jets Pizza - McKinney,TABS2024013337,3700 McKinney Ranch Pkwy,"3700 McKinney Ranch Pkwy. - Suite 200, Mckinney, TX 75070",Collin,3/15/2024,6/15/2024,"$3,250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Alterations to an existing tenant space as per plans, for a new tenant retail food establishment.  ","1,480 ft 2","Propitious Investments, LLC","909 Lake Carrillon Ln., Southlake, Texas 76092",(312) 206-8673,,Designhaus Architecture,"3300 Auburn Rd. Suite 300, Auburn Hills, Michigan 48326",(248) 604-4422,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013337
Total Hearing Care,TABS2024013323,Village at Fairview,"122 Prairie Road, Fairview, TX 75069",Collin,3/30/2024,6/30/2024,"$105,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation/Alterations to Existing Building,"1,426 ft 2","Village FV, LTD  C/o Lincoln Property Co","8111 Douglas Ave. Suite 600, Dallas, Texas 75225",(601) 214-2871,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013323
Hillstead,TABS2024013314,Amenity Center,"Corner of Bird Dog BLVD & Hillside Stroll DR, Lavon, TX 75166",Collin,4/30/2024,7/30/2025,"$2,500,000",New Construction,"This project is privately funded, on private land for private use.",Amenity Center with indoor and outdoor gathering spaces with swimming pool and pickle ball court.,"4,190 ft 2",Hillstead Land LLC,"10210 N Central Expy Ste 300, Dallas, Texas 75231",(972) 972-7523,,Three Architecture LLC,"4925 Greenville Ave. Ste 600, Dallas, Texas 75206",(214) 559-4080,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013314
KICKIN CRAB,TABS2024013298,KICKIN CRAB,"1670 E BROAD ST #STE. 100, Mansfield, TX 76063",Collin,6/1/2024,12/31/2024,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR RENOVATION ,"3,000 ft 2",H-E-B LP,"PO BOX 839955, SAN ANTONIO, Texas 78283",(210) 938-8145,CHARLIER NGUYEN,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013298
3rd Street and Maple Street Paving and Drainage Improvements,TABS2024013295,3rd Street and Maple Street,"9400 3rd Street, Frisco, TX 75033",Collin,5/3/2024,11/3/2024,"$844,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Reconstruction of 349 feet of 3rd Street and Maple Street including sidewalks adjacent to the back of curb. ,349 ft 2,City of Frisco,"6101 Frisco Square Blvd., Frisco, Texas 75034",(972) 292-5400,,"Quiddity Engineering, LLC","2805 Dallas Parkway, Suite 600, Plano, Texas 75093",(979) 307-6148,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013295
207 Original Frameless Shower Doors,TABS2024013272,Oak Point Plaza,"5025 K Avenue, Suite 207, Plano, TX 75074",Collin,4/1/2024,6/1/2024,"$92,495",New Construction,"This project is privately funded, on private land for private use.",1st-time commercial finish out in a newly constructed shell building,900 ft 2,"Oak Point Plaza I, LLC","PO Box 427, Addison, Texas 75001",(972) 239-1324,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013272
NAN HOT POT,TABS2024013238,NAN HOT POT,"2380 N CENTRAL EXPRESSWAY, Plano, TX 75074",Collin,4/1/2024,7/1/2024,"$80,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL ,"8,650 ft 2",MAY DRAGON LLC,"801 LADY OF THE LAKE BLVD, LEWISVILLE, Texas 75056",(469) 939-6378,RAYMOND ZHAO,TWZ ARCHITECTS LLC,"2029 STONEMONT CT, ALLEN, Texas 75013",(469) 275-3718,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013238
C5LC McKinney Logistics Center Building E,TABS2024013208,C5LC McKinney Logistics Center Building E,"McKinney, Mckinney, TX 75071",Collin,6/3/2024,6/2/2025,"$24,500,000",New Construction,"This project is privately funded, on private land for private use.",New speculative warehouse building of tilt wall and steel structure with 60 mil TPO roof on rigid insulation on mechanically fastened metal deck,"492,368 ft 2",CORE5 Industrial Partners,"15660 N Dallas Pkwy Suite 200, Dallas, Texas 75248",(972) 362-8729,,Macgregor  Associates Architects,"2727 Paces Ferry Rd SE Building 2 - Suite 1400, Atlanta, Georgia 30339",(770) 432-9934,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013208
C5LC McKinney Logistics Center Building D,TABS2024013204,C5LC McKinney Logistics Center Building D,"McKinney, Mckinney, TX 75071",Collin,6/3/2024,6/2/2025,"$9,200,000",New Construction,"This project is privately funded, on private land for private use.",New speculative warehouse building of tilt and steel structure with 60 mil TPO roof on rigid insulation on mechanically fastened metal deck,"159,735 ft 2",CORE5 Industrial Partners,"15660 N Dallas Pkwy Suite 200, Dallas, Texas 75248",(972) 362-8729,,Macgregor  Associates Architects,"2727 Paces Ferry Rd SE Building 2 - Suite 1400, Atlanta, Georgia 30339",(770) 432-9934,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013204
"7 Brew - Frisco, TX",TABS2024013179,7 Brew Coffee,"Block B, Lot 4, Coit & 3537 Addition, Frisco, TX 75035",Collin,6/1/2024,9/1/2024,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",Construction of a 541sf pre-fabricated drive-thru only coffee shop,541 ft 2,Coit N Main LLC,"13727 Balint Ln, Frisco, Texas 75035",(713) 751-9890,Scott Wilson,Kinetic Design & Development,"2215 W Chesterfield Blvd, Ste. 01, Springfield, Missouri 65807",(417) 530-4321,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013179
Butler Weihmuller Katz Craig,TABS2024013115,Preston North,"18333 Preston Road Suite 530, Dallas, TX 75252",Collin,3/5/2024,6/30/2024,"$319,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvements,"6,570 ft 2","Preston North Partners, LLC","One Alled Dr. St. 1715, Little Rock, Arkansas 72202",(501) 350-3301,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013115
Professional Black Belt Academy,TABS2024013107,Professional Black Belt Academy,"112 W. PRINCETON DRIVE, SUITE 100, Princeton, TX 75407",Collin,4/22/2024,6/24/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",RENOVATION OF TENANT LEASE SPACE,"2,906 ft 2",RETAIL OPPORTUNITY PRINCETON 2 LLC,"4851 L B J FWY FL 10, DALLAS, Texas 75244",469-231-7171,BRUCE NEWMAN,WARD ARCHITECTURE PLLC,"5004 THOMPSON TERRACE, SUITE 107, COLLEYVILLE, Texas 76034",817-281-5600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013107
PHOENIX NAIL SPA,TABS2024013088,HOLLYHOCK COMMERCIAL ADDON,"2215 UNIVERSITY DR #STE. 200, Frisco, TX 75033",Collin,5/1/2024,9/1/2024,"$120,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"3,233 ft 2",PS VENTURES LLC,"1408 SANTA FE TRAIL, IRVING, Texas 75063",(203) 893-2416,THANH LE,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOXCHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013088
Huffines Chrysler Jeep Dodge Ram,TABS2024013078,Huffines,"4500 W Plano Pkwy, Plano, TX 75093",Collin,4/3/2024,7/3/2024,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel existing car wash,"1,501 ft 2",Huffines Auto Dealerships,"4500 W Plano Pkwy, Plano, Texas 75093",(972) 867-6000,,A Plus Design Group,"2653 Sagebrush Dr. #200, Flower Mound, Texas 75028",1-972-724-4440,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013078
North Texas Comprehensive Cardiology,TABS2024013067,North Texas Comprehensive Cardiology,"450 N Standridge Blvd #104, Anna, TX 75409",Collin,4/1/2024,9/30/2024,"$250,000",New Construction,"This project is privately funded, on private land for private use.",Finish-out of a new lease space,"2,140 ft 2",Anna MOB Partners,"251 E Southlake Blvd., Southlake, Texas 76092",817.337.3433,Nikhil Joshi,Covenant Architecture,"106 E Church St., Weatherford, Texas 76086",(817) 565-9826,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013067
Wolf Creek,TABS2024013060,Wolf Creek Farms BTR,"Collin St. & Throckmorton Road, Melissa, TX 75454",Collin,4/1/2024,3/31/2026,"$38,362,509",New Construction,"This project is privately funded, on private land for private use.","343-unit single family for rent development with amenity building including clubhouse, leasing office, fitness center, and pool.","421,242 ft 2","Wolf Creek Farms Melissa WCB, LLC","1305 Wycliff Avenue Suite 100, Dallas, Texas 75207",(952) 412-6481,,Architecture Demarest,"2320 Valdina Street Studio B, Dallas, Texas 75207",(214) 748-6655,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013060
Burger King,TABS2024013042,Burger King,"1700 West University Drive McKinney, TX 75069, Mckinney, TX 75069",Collin,4/15/2024,7/15/2024,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of an existing Burger King. Work to include new wall construction, New mechanical and electrical, kitchen equipment, finishes, ceiling, etc.","3,876 ft 2",Dossani Paradise Investments,"520 E Northwest Highway Grapevine, Texas 76051, Grapevine, Texas 76051",(905) 648-7330,,Architectural Group International,"15 West 7th Street, Covington, Kentucky 41011",859-261-5400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013042
Veda Wellness,TABS2024013030,Heritage Business Park,"11583 Independence Parkway, Frisco, TX 75035",Collin,3/20/2024,5/1/2024,"$80,000",New Construction,"This project is privately funded, on private land for private use.",New Construction- Interior finish out ,"1,221 ft 2",Divine Thoughts LLC,"11583 Independence Pkwy, Frisco, Texas 75035",(908) 251-2799,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024013030
SW-47PRI - Princeton Tenant Improvement,TABS2024012991,Swig Drinks,"1530 W. PRINCETON DR; SUITE 101, Princeton, TX 75407",Collin,6/3/2024,12/2/2024,"$550,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement for a Swig Facility in an existing building provided by others. The main purpose of this facility is to prepare and serve gourmet soda drinks.,"1,470 ft 2",AG PRINCETON RE HOLDINGS LLC,"12360 Market Dr., oklahoma city, Oklahoma 73114",918-346-5640,Lexi Venuti,Babcock Design,"52 Exchange Place, Salt Lake City, Utah 84111",(801) 433-4309,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012991
Graze,TABS2024012962,R&D at Legacy,"6700 Pinecrest Suite 400, Plano, TX 75024",Collin,3/4/2024,11/4/2024,"$248,550",Renovation/Alteration,"This project is privately funded, on private land for private use.",Non-structural interior finish-out in an existing single floor suite.,"5,298 ft 2",Accesso,"700 Central Expressway S Suite 215, Allen, Texas 75013",(469) 262-6357,,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012962
"7 Brew - Celina, TX",TABS2024012926,7 Brew Coffee,"N. Preston & Frontier Parkway, Celina, TX 75009",Collin,5/1/2024,8/1/2024,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",This project is the construction of a 541sf pre-fabricated drive-thru only coffee shop.,541 ft 2,"NWC Preston & Frontier, LLC","PO Box 100843, Fort Worth, Texas 76185",(214) 960-4545,Scott Wilson,Kinetic Design and Development,"2215 W Chesterfield Blvd, Ste. 01, Springfield, Missouri 65807",(417) 530-4321,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012926
Stone Briar Facial and Oral Surgery,TABS2024012921,Stone Briar Facial and Oral Surgery,"2164 N. Lake Forest Dr., Mckinney, TX 75071",Collin,5/1/2024,9/30/2024,"$853,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant Interior up fit of 4,610 S.F. empty shell.","4,610 ft 2",NBRH Lake Forest Office LLC,"212 S. Elm St., Denton, Texas 76201",(940) 220-7489,Kyle Wilton,"Alex Roush Architects, Inc.","2255 CUMBERLAND PKWY Bldg 100, ATLANTA, Georgia 30339",(770) 843-9106,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024012921
