project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
GS Dallas Temp Space - TCC Level 17,TABS2025020521,Trammell Crow Center,"2001 Ross Avenue, Suite 1700, Dallas, TX 75201",Dallas,6/23/2025,12/26/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of suite for sublease,"23,500 ft 2",ROF V Investment LLC,"12100 Wilshire Blvd., Suite 1750, Los Angeles, California 90025",(214) 863-4147,,Corgan,"401 North Houston Street, Dallas, Texas 75202",(214) 757-1670,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020521
FOX 4,TABS2025020517,KDFW-FOX 4,"2203 W Royal Lane, Irving, TX 75063",Dallas,10/27/2025,11/30/2025,"$389,850",New Construction,"This project is privately funded, on private land for private use.","Build hail protection canopy shade structures. Consists of HSS frame and HDPE fabric tops. 95 parking spots. 15,066sqft","15,066 ft 2",FOX 4 Television Studios,"400 N Griffin Street, Dallas, Texas 75202",214-720-4444,,"Sadler Consulting Group, LLC","4055 International Plaza, Suite 540, Fort Worth, Texas 76109",(800) 900-7373,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020517
Dallas Padel Club - Phase 1 Site Improvements,TABS2025020504,Dallas Padel Club,"3000 Belmeade Drive, Carrollton, TX 75006",Dallas,7/1/2025,2/28/2026,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","Outdoor sport courts, pedestrian plazas, walkways, and landscape","113,400 ft 2",Dallas Padel Club,"3000 Belmeade Drive, Carrollton, Texas 75006",(513) 518-9974,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020504
Gray Reed Dallas,TABS2025020499,1845 Woodall Rodgers,"1845 Woodwall Rodgers Freeway, Dallas, TX 75201",Dallas,7/21/2025,3/15/2026,"$7,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Primarily open office buildout, scope of work to include open office areas with workstations, private offices, conference rooms, storage rooms, reception area and break room. Existing stair between level 13 and 14, to be extended down to level 12.","37,778 ft 2","WDC-FUB Office Owner, LLC","1845 Woodall Rodgers Freeway Suite 1700, Dallas, Texas 75201",(214) 751-6850,Jason Rodriguez,Abel Design Group,"777 Post Oak Blvd. Suite 350, Houston, Texas 77056",713.859.2525,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020499
Bandana Brew I,TABS2025020471,6526 E Northwest Highway,"6526 E Northwest Highway, Dallas, TX 75214",Dallas,7/21/2025,9/22/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior renovation of an existing building,"2,500 ft 2",IH 30 Northwest GMD LTD,"4311 Lovers Lane, Suite 200, Dallas, Texas 75209",(214) 520-8818,Marshall Traylor,"Melvin L Dryden, Architect","1432 El Campo Drive 1432 El Campo Drive, Dallas, Texas 75218",(214) 675-5640,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020471
Tom Thumb Site Accessibility - Dallas,TABS2025020469,Tom Thumb #2642,"5809 East Lovers Lane, Dallas, TX 75206",Dallas,9/22/2025,10/3/2025,"$105,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Barrier removal in the Tom Thumb parking lot to bring existing non-compliant conditions into conformance with ADAS 2010 and 2012 TAS.  Affects approx. 2,575 sf.","2,575 ft 2",Westfin,"10877 Wilshire Blvd Suite 1105, Los Angeles, California 90024",(972) 284-0824,,GBD Architects Incorporated,"1120 NW Couch St Suite 300, Portland, Oregon 97209",(503) 224-9656,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020469
Garland Ave Underpass,TABS2025020463,NA,"4933 N Garland Ave, Garland, TX 75040",Dallas,7/1/2025,12/1/2025,"$917,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",Construct 680 LF of pedestrian hike and bike trail,"8,160 ft 2",City of Garland,"634 Apollo Rd, Garland, Texas 75040",(972) 205-2897,,BW2 Engineers (SPI),"2201 N Central Expressway, Ste. 205, Richardson, Texas 75080",(972) 864-8200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020463
1555 Ave. S #104 Demo Build back,TABS2025020460,1555 Ave. S,"1555 Ave S Suite 104, Grand Prairie, TX 75050",Dallas,7/24/2025,11/17/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Demo/ Make Ready of existing office pod within warehouse office space,"1,325 ft 2",TGA TX Infill GSW LLC ,"2300 N. Field St. Suite 1650, Dallas, Texas 75201",(972) 972-7652,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020460
ANBTX,TABS2025020459,Tower 2600,"2600 N. Central Expressway Suite 700, Richardson, TX 75081",Dallas,6/3/2025,9/30/2025,"$436,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement,"7,195 ft 2",Tower 2600 Property Owner LLC,"350 Fifth Ave Suite 5340, New York City, New York 10118",(212) 899-4580,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020459
Mr Cooper Phase 2,TABS2025020438,8950 Cypress Waters Blvd,"8950 Cypress Waters Blvd, Coppell, TX 75019",Dallas,6/23/2025,10/28/2025,"$4,084,693",Renovation/Alteration,"This project is privately funded, on private land for private use.",Phase 2 terior renovation of office lease space on Levels 1 & 2 of an existing 3 story office building.  Phase 1 has been permitted and is currently under construction (TABS2025012764).,"80,280 ft 2",Billingsley Company,"1722 Routh Street, Suite 770, Dallas, Texas 75201",214-270-1000,Bob Bottorff,Perkins&Will,"2218 Bryan Street, Suite 200, Dallas, Texas 75201",(214) 283-8739,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020438
Logistics Property,TABS2025020419,One Arts Plaza,"1722 Routh Street, Suite 730, Dallas, TX 75201",Dallas,6/3/2025,10/3/2025,"$110,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","The scope of this project is a non-structural interior finish-out in an existing single floor suite. Scope includes HVAC, electrical and plumbing. ","2,587 ft 2",Billingsley Company,"1722 Routh Street Suite 770, Dallas, Texas 75201",(214) 270-0942,,idGROUP,"2641 Irving Blvd, Dallas, Texas 75207",(214) 638-6800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020419
Bahama Bucks - #TX1389,TABS2025020407,Bahama Bucks,"2760 E. TRINITY MILLS Suite 100, Carrollton, TX 75006",Dallas,10/7/2025,3/9/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",tenant finish out ,"1,779 ft 2","College Park Joint Venture, LLC","1015 N I-35E Suite #315, Carrollton, Texas 75006",(469) 358-6654,Kavinibahen Patel,"IDStudio4, LLC","6201 Campus Circle Dr E, Irving, Texas 75063",(972) 457-2212,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020407
Christ the Cornerstone Community Church,TABS2025020405,Christ the Cornerstone Community Church,"1010 W Pleasant Run Rd, Desoto, TX 75115",Dallas,6/9/2025,8/25/2025,"$164,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","we are not changing anything to the exterior. Just repairing interior for smoke damage and minimal HVAC/Electrical. No framing, no windows.","7,550 ft 2",CHRIST THE CORNERSTONE COMMUNITY CHURCH,"po, ced, Texas 75106",(972) 226-5599,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020405
Marsh McLennan Agency Dallas,TABS2025020393,Three Galleria Towers,"13155 Noel Rd., 11th-14th Floors, Dallas, TX 75240",Dallas,9/1/2025,5/1/2026,"$15,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation to include the entirety of the 11th-14th floors including workplace space, break rooms and a client facing conference area.","78,000 ft 2",Piedmont Dallas Galleria LLC,"5565 Glenridge Connector, Suite 450, Atlanta, Georgia 30342",(214) 939-7137,Amanda Jeske,"IA Interior Architects, Inc.","728 Northwestern Ave., Bldg A, Austin, Texas 78702",737.218.5228,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020393
"#3224-1010 Garland (SE), TX",TABS2025020383,Walmart #3224,"555 W I-30, Garland, TX 75043",Dallas,9/22/2025,11/10/2025,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel: add mothers room & family restroom, RTU remove/replace, online grocery pickup updates, new finishes/digital displays customer service area, breakroom install. 8,071sf","8,071 ft 2",Walmart Real Estate Business Trust,"2608 SE J Street, Bentonville, Arkansas 72716",(800) 876-5309,,Cyntergy,"810 S Cincinnati Ave., Ste. 200, Tulsa, Oklahoma 74119",(918) 877-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020383
7th Floor Restrooms,TABS2025020363,The Centrum,"3102 Oak Lawn 7th Floor, Dallas, TX 75219",Dallas,6/16/2025,8/8/2025,"$82,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation to an existing space.,500 ft 2,Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75248",(972) 759-7728,,ENTOS Design,"5400 Lyndon B Johnson Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020363
Wood Drive,TABS2025020348,Wood Drive,"2801 Wood Drive, Garland, TX 75041",Dallas,10/1/2025,11/20/2026,"$17,000,000",New Construction,"This project is privately funded, on private land for private use.",Core and shell industrial building. ,"248,922 ft 2","SL6 Wood Drive, LP","3200 Gracie Kiltz Lane, Suite 500, Austin, Texas 78758",(214) 220-7297,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020348
"GTT Holdings, LLC",TABS2025020345,N/A,"1223 Willow Run Road, Glenn Heights, TX 75154",Dallas,3/1/2025,8/15/2025,"$350,000",New Construction,"This project is privately funded, on private land for private use.","Modular building installaiton 1,475 sq ft, utilities, water, sewer and electric, concrete parkinglot, fence and front gate","1,475 ft 2","GTT Holdings, LLC","512 N Hampton Road Suite #427, Desoto, Texas 75115",(214) 930-7641,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020345
2nd Floor Addition - The Church in Dallas,TABS2025020340,2nd Floor Addition - The Church in Dallas,"13093 Meandering Way, Dallas, TX 75240",Dallas,7/1/2025,6/30/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Addition of 2nd story to an existing single story building,"5,168 ft 2",The Church in Dallas,"13093 Meandering Way, Dallas, Texas 75240",(972) 361-0052,,"Prosperoso & Associates, Inc","8220 Greenwood Dr, Plano, Texas 75025",(972) 898-9820,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020340
Pike Engineering,TABS2025020301,St. Paul Place,"750 North St. Paul Street Suite 500, Dallas, TX 75201",Dallas,6/28/2025,9/1/2025,"$325,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"3,498 ft 2",750 NSP Holdings LLC,"750 N St. Paule Place, Dallas, Texas 75201",(214) 302-0080,,Entos Design,"5400 LBJ Freeway Suite 125, Dallas, Texas 75240",(972) 770-2222,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020301
First Baptist Church Garland Building Expansion,TABS2025020281,First Baptist Church Garland,"801 W. Avenue D, Garland, TX 75040",Dallas,9/15/2025,1/15/2027,"$26,125,491",Additions to Existing Building,"This project is privately funded, on private land for private use.","The project consists of an appoz 54,000sf building consisting of 2 levels of new expansion and approx 4000 sf of renovation to the existing church building. It has 1000 seat main worship room and 250 seat chapel ","4,000 ft 2",First Baptist Church Garland,"801 W. Avenue D, Garland, Texas 75040",(469) 429-2395,,"Beck Architecture, LLC","1601 Elm Street, Suite 2800, Dallas, Texas 75201",214-303-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020281
Surgery Suite Renovation,TABS2025020279,Baylor Scott and White Medical Ceneter - Irving,"1901 North MacArthur Blvd. Suite 200, Irving, TX 75061",Dallas,7/1/2025,4/30/2027,"$15,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of Surgery center suite on level 02 to provide staff support spaces, additional operating rooms, and a larger PACU to accommodate the OR additions.","12,000 ft 2",Baylor Scott and White Health,"301 North Washington Ave., Dallas, Texas 75246",(214) 418-8815,,"Perkins Will, Inc.","2218 Bryan Street, Suite 200 Suite 200, Dallas, Texas 75201",(214) 283-8700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025020279
