project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
ACS DFW12 HICKS FIELD,TABS2026016045,DFW 12,"HICKSFIELD RD, Fort Worth, TX 76179",Tarrant,8/6/2026,5/17/2028,"$100,000,000",New Construction,"This project is privately funded, on private land for private use.","A new 2-story data center building at 283274 SF located in Fort Worth, TX. The building is programmed for administrative  space  limited to 19,654 SF, 4 data halls of 29,427 SF each and accessory support spaces to make up the balance of the  building","283,274 ft 2","Vanguard Project Co. DFW 12, LLC","1 Alhambra Plaza Suite 1200, Coral Gables, Florida 33134",(916) 856-8100,,Corgan,"1201 Peachtree St N.E. Suite 500, Atlanta, Georgia 30361",(470) 870-2264,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016045
Water Wings Swim School - Arlington,TABS2026016021,Water Wings Swim School,"6501 S. Cooper St. Unit 101, Arlington, TX 76001",Tarrant,4/13/2026,9/1/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Convert retail space to indoor swim school with two pools, restrooms, showers, change rooms and lobby","6,565 ft 2",Cooper Street Baceline LLC,"511 N Broadway, Denver, Colorado 80203",(303) 854-9118,Ekene Ogbechie,Forza Design Group LLC,"10801 W Charleston Blvd Suite 530, Las Vegas, Nevada 89135",(702) 417-7023,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016021
JBS Expansion,TABS2026015974,Pinnacle Point Building 5,"435 S Kimball Ave 100, Southlake, TX 75202",Tarrant,3/30/2026,8/30/2026,"$220,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"3,273 ft 2","PREF OM South Kimball, LLC","900 W. Bethany Drive #110, Allen, Texas 75013",(972) 437-2444,,Entos Design,"1503 LBJ Fwy 275, Dallas, Texas 75234",(972) 556-8556,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015974
Enterprise Bank & Trust,TABS2026015932,2560 SW Grapevine Parkway,"2560 SW Grapevine Pkwy Suite 140, Grapevine, TX 76051",Tarrant,4/15/2026,8/31/2026,"$123,670",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of an existing office building to demise the space into two suites with Suite 140 to be for this tenant,"3,870 ft 2",Dennis Peterson,"6210 MacDuff Dr., Granite Bay, California 95746",(817) 442-9600,Robert Bransford,Staci Renfro,"577 Lake Forest Drive, Coppell, Texas 75019",214-995-3212,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015932
Remedy Medical - Spec Suite 170,TABS2026015927,Southlake Medical Plaza,"731Southlake Blvd Suite 170, Southlake, TX 76092",Tarrant,5/26/2026,8/26/2026,"$100,000",New Construction,"This project is privately funded, on private land for private use.",Interior Design 1586 usf,"1,586 ft 2","KAGR2 Southlake 731, LLC","800 W. Madison St Suite 400, Chicago, Illinois 60607",469-460-4055,,MPI Architects,"4949 Addison Circle, Addison, Texas 75001",972-788-0078,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015927
Kinokuniya Haltom City,TABS2026015926,PCTC Retail Center,"3930 NE Loop 820, Suite 300, Haltom City, TX 76117",Tarrant,5/11/2026,8/14/2026,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior build-out of a new bookstore within a 6,058 SF shell building. The project includes a bookstore retail area, back office and storage, one ADA restroom, and a janitor’s closet, with new HVAC, ductwork, plumbing, and all associated interior im","6,058 ft 2",Haltom City Forest Properties LLC,"105 Decker CT, Suite 100, Irving, Texas 75062",(469) 895-6643,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015926
Methodist Mansfeild GI,TABS2026015916,Methodist Professional Building II,"252 Matlock Road, Suite 230, Mansfield, TX 76063",Tarrant,5/11/2026,8/31/2026,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",The project is proposed to be a 5900 sqft tenant finish out of a first-generation lease space on the 2nd floor to add a new medical office suite.,"5,900 ft 2",Pavilion Properties,"1411 North Beckley Ave. Suite 156, Dallas, Texas 75209",(214) 974-3701,,Apogee Architectural Partners,"16775 Addison Road Suite 500, Addison, Texas 75001",(940) 215-5100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015916
Fleet Maintenance Facility Restroom Renovation,TABS2026015904,City of Arlington Fleet Services Facility,"1015 W Main, Arlington, TX 76013",Tarrant,8/1/2026,11/30/2026,"$300,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Restroom Renovation and Upgrades,900 ft 2,City of Arlington,"101 W. Abram Street, Arlington, Texas 76010",(817) 459-6558,,"Elements of Architecture, Inc.","1201 6th Ave Suite 100, Fort Worth, Texas 76104",(817) 333-2880,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015904
OFFICE SUITE 155,TABS2026015885,SOUTHGATE NEC LOT 2 BUILDING,"250 GERAULT ROAD #155, Flower Mound, TX 75028",Tarrant,4/13/2026,8/17/2026,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT FOR OFFICE SUITE,"1,373 ft 2",2018 LOTS,"7408 MARQUETTE ST., DALLAS, Texas 75225",949-293-5151,,"JAX DESIGN STUDIO, LLC","1522 TURNING LEAF LANE, GARLAND, Texas 75040",(214) 477-4112,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015885
OFFICE SUITE 145,TABS2026015882,SOUTHGATE NEC LOT 2 BUILDING,"250 GERAULT ROAD #145, Flower Mound, TX 75028",Tarrant,4/13/2026,8/17/2026,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT FOR OFFICE SUITE,"1,438 ft 2",2018 LOTS,"7408 MARQUETTE ST., DALLAS, Texas 75225",949-293-5151,,"JAX DESIGN STUDIO, LLC","1522 TURNING LEAF LANE, GARLAND, Texas 75040",(214) 477-4112,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015882
New Building,TABS2026015853,Longvue Baptist Church,"10301 Old Weatherford Rd, Fort Worth, TX 76108",Tarrant,5/4/2026,6/30/2027,"$350,000",New Construction,"This project is privately funded, on private land for private use.",New Church Building,"9,425 ft 2",Longvue Baptist Church,"3420 Longvue Ave., Fort Worth, Texas 76116",(817) 401-8604,,Martsolf Architecture,"815 W Daggett Ave, Fort Worth, Texas 76104",(817) 820-0005,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015853
Race Street Retail Center,TABS2026015787,Race Street Retail Center,"3650 Race St 35000Fort Worth, TX, Fort Worth, TX 76104",Tarrant,6/1/2026,6/1/2027,"$350,000",New Construction,"This project is privately funded, on private land for private use.","5,700sf of industrial flex space","5,700 ft 2",Earnest Buyers LLC,"400 W Terrell Ave Fort Worth, TX 76104, Fort Worth, Texas 76104",(817) 229-5155,,Goleski Architectural Design,"2123 Tampico Dr Carrollton, TX 75006, Carrollton, Texas 75006",(214) 693-1999,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015787
Arclabs - Fort Worth,TABS2026015774,Arclabs,"5029 Jacksboro Highway, Fort Worth, TX 76114",Tarrant,6/1/2026,6/1/2027,"$800,000",New Construction,"This project is privately funded, on private land for private use.","sitework, drive, new tiltwall and metal stud construction, utilities","44,650 ft 2",Progress Land Development,"2615 Highway 153 B4, Piedmont, South Carolina 29673",(864) 520-2465,,KP+J Architects and Engineers,"300 W Bitters Suite 204, San Antonio, Texas 78216",(210) 384-8900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015774
Shoe Palace - Grapevine,TABS2026015765,Grapevine Mills Mall,"3000 Grapevine Mills Pkwy Suite #248, Grapevine, TX 76051",Tarrant,5/1/2026,6/1/2026,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel of an existing Shoe Palace Store,"5,433 ft 2",GRAPEVINE MILLS MALL LIMITED PARTNERSHIP,"PO Box 6120 MS11C, Indianapolis, Indiana 46204",(469) 240-5782,,Quorum Architects,"825 W. Vickery Blvd Suite 100, Fort Worth, Texas 76104",(817) 546-6311,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015765
Amazon SFW4 2026 SSD3.0 Program,TABS2026015752,SFW4,"4275 Strategy Ave, DFW Airport, Dallas, TX 75621",Tarrant,4/29/2026,9/23/2026,"$12,792,257",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installation of conveyor and sortation equipment interior to an existing facility. Includes the associated supports and electrical controls.,"38,025 ft 2",CITY OF DALLAS,"1500 MARILLA ST, Dallas, Texas 75201",(469) 203-2614,Christina Quinones,Storage Rack Engineers,"23142 Arroyo Vista, Rancho Santa Margarita, California 92688",949-888-8850,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015752
Phenix Salon Suites Arlington Parks Mall,TABS2026015750,Parks Mall,"3811 S. Cooper St., Space 1188, Arlington, TX 76015",Tarrant,5/1/2026,10/2/2026,"$1,602,490",Renovation/Alteration,"This project is privately funded, on private land for private use.",Project is a new 9198 square foot hair salon tenant finish in an existing tenant space for Phenix Salon Suites,"9,198 ft 2","Parks at Arlington, LP","PO BOX 101042, Chicago, Illinois 60610",682.365.2747,Nimish Gandhi,"Architrilogy, P.C.","10 Town Plaza, Suite 178, Durango, Colorado 81301",719.471.9800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015750
IST Texas,TABS2026015725,Mercantile Distribution Center 1,"4300 N. Sylvania Drive, Fort Worth, TX 76137",Tarrant,3/30/2026,5/20/2026,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovation and expand existing office and warehouse space per tenant drawings,"69,840 ft 2",Mercantile Partners,"2650 Meacham Boulevard, Fort Worth, Texas 76137",(817) 831-2121,,HAL Consulting,"2121 Warner Road, Fort Worth, Texas 76110",(817) 879-3400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015725
harmony white settlement,TABS2026015719,harmony white settlement,"9700 white settlement road, Fort Worth, TX 76108",Tarrant,5/1/2026,6/1/2027,"$20,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",new construction,"58,000 ft 2",harmony public schools,"9321 w sam houston pkwy s, houston, Texas 77099",(713) 343-3333,,gignac architects,"416 starr street, corpus christi, Texas 78401",(361) 884-2661,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015719
Tecovas - Fort Worth,TABS2026015712,Stockyards Wedge,"2341 N MAIN ST, Fort Worth, TX 76164",Tarrant,4/1/2026,11/1/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","COMMERCIAL TENANT IMPROVEMENT OF A 6778 SF STAND-ALONE BUILDING INCLUDING DEMOLITION AND CONSTRUCTION OF NON-STRUCTURAL PARTITIONS, CEILINGS, FINISHES AND FURNITURE/EQUIPMENT AND ASSOCIATED MEP IMPROVEMENTS.","6,778 ft 2",FW Main Street Partners LLC,"2900 Marquita Dr, Fort Worth, Texas 76116",(817) 846-4162,Lindsay Coleman,Interior Architects,"728 NORTHWESTERN AVE BLDG A, Austin, Texas 78702",(737) 218-5228,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015712
Mansfield On-Call Services Concrete Pavement Improvements - Julian Feild Park Sidewalk Improvements,TABS2026015694,Julian Field Park,"1531 E Broad St, Mansfield, TX  7606",Tarrant,4/30/2026,5/31/2026,"$100,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Remove & replace 8 curb ramps, 3510 SF of concrete sidewalk and 954 SF of concrete driveway.","3,510 ft 2",City of Mansfield,"1200 E Broad Street,, Mansfield, Texas 76063",(817) 276-4200,,"Shield Engineering Group, LLC","1600 W 7th Street,, Fort Worth,, Texas 76102",(817) 504-1685,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015694
SH 171 (CSJ: 0902-00-336),TABS2026015690,CSJ: 0902-00-336,"Various Locations, Weatherford, TX 76086",Tarrant,1/4/2027,11/4/2027,"$2,680,169",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Construction of curb ramps, sidewalks and miscellaneous pedestrian elements.","133,449 ft 2",TxDOT District: Fort Worth,"2501 S W Loop 820, Fort Worth, Texas 76133",(817) 370-6744,,"Kimley-Horn & Associates, Inc.","6800 Burleson Rd, Suite 150, Austin, Texas 78744",(512) 616-9942,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015690
Cook Children's West Tower,TABS2026015689,Cook Childrens Medical Center,"801 7th Avenue, Fort Worth, TX 76104",Tarrant,6/16/2025,4/27/2029,"$530,000,000",New Construction,"This project is privately funded, on private land for private use.","This is the Core and Shell of the West Tower. About 750,000 SF with 10 levels (3 below grade).","750,000 ft 2",Cook Childrens Medical Center,"801 7th Avenue, Fort Worth, Texas 76104",(682) 885-4021,,HKS Inc,"1227 W. Magnolia Suite 200, Fort Worth, Texas 76104",(214) 578-2363,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015689
Administration and Childcare Renovation,TABS2026015652,First Presbyterian Church,"1000 Penn Street, Fort Worth, TX 76102",Tarrant,4/16/2026,8/26/2026,"$4,200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of childcare reception area, administrative area and associated corridors.  New wheelchair lift, entrance canopies and sitework.","4,400 ft 2",First Presbyterian Church,"1000 Penn Street, Fort Worth, Texas 76102",(817) 241-6606,,Grace Design Studios,"200 Bailey Ave, Suite 200, Fort Worth, Texas 76107",(817) 921-5928,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015652
Scramblers Golf Club,TABS2026015641,Hornets Plaza,"1000 Boyd Rd, Suite 300, Azle, TX 33309",Tarrant,3/30/2026,5/30/2026,"$206,003",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant build out of a golf simulator club. Framing of partition walls, electrical, plumbing, painting, carpentry. ","1,800 ft 2","Korcha Management LLC,   & 1004 Boyd, Inc.","800 N. Fielder Rd, Suite 100, Arlington, Texas 76012",817-307-0902,Jacob Hill,"Vinicio R. Fernandez, Inc.","501 SW 11th Place, Suite 411-B, Boca Raton, Florida 33432",561-212-1365,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026015641
